Ticker,Price,Sector
"EXPE 
",119.34,Consumer Discretionary 
"EXPD 
",53.72,Industrials 
"ESRX 
",72.67,Health Care 
"EXR 
",73.17,Real Estate 
"XOM 
",86.28,Energy 
"FFIV 
",142.84,Information Technology 
"FB 
",127.92,Information Technology 
"FAST 
",51.06,Industrials 
"FRT 
",141.53,Real Estate 
"FDX 
",187.23,Industrials 
"FIS 
",79.46,Information Technology 
"FITB 
",26.33,Financials 
"FSLR 
",34.41,Information Technology 
"FE 
",30.76,Utilities 
"FISV 
",110.08,Information Technology 
"FLIR 
",35.4,Information Technology 
"FLS 
",49.86,Industrials 
"FLR 
",52.98,Industrials 
"FMC 
",58.55,Materials 
"FTI 
",34.92,Energy 
"FL 
",69.35,Consumer Discretionary 
"F 
",12.41,Consumer Discretionary 
"FTV 
",54.14,Industrials 
"FBHS 
",54.3,Industrials 
"BEN 
",40.01,Financials 
"FCX 
",15.24,Materials 
"FTR 
",3.54,Telecommunications Services 
"GPS 
",23.97,Consumer Discretionary 
"GRMN 
",47.76,Consumer Discretionary 
"GD 
",175.99,Industrials 
"GE 
",31.23,Industrials 
"GGP 
",25.1,Real Estate 
"GIS 
",62.08,Consumer Staples 
"GM 
",37.47,Consumer Discretionary 
"GPC 
",99.29,Consumer Discretionary 
"GILD 
",72.13,Health Care 
"GPN 
",78.62,Information Technology 
"GS 
",234.29,Financials 
"GT 
",30.54,Consumer Discretionary 
"GWW 
",244.61,Industrials 
"HAL 
",55.13,Energy 
"HBI 
",22.01,Consumer Discretionary 
"HOG 
",58.52,Consumer Discretionary 
"HAR 
",110.7,Consumer Discretionary 
"HRS 
",100.85,Information Technology 
"HIG 
",49.4,Financials 
"HAS 
",84.55,Consumer Discretionary 
"HCA 
",79.73,Health Care 
"HCP 
",30.55,Real Estate 
"HP 
",78.49,Energy 
"HES 
",58.83,Energy 
"HPE 
",22.86,Information Technology 
"HOLX 
",39.95,Health Care 
"HD 
",136.16,Consumer Discretionary 
"HON 
",118.06,Industrials 
"HRL 
",36.17,Consumer Staples 
"HST 
",18.31,Real Estate 
"HPQ 
",14.58,Information Technology 
"HUM 
",206.11,Health Care 
"HBAN 
",13.15,Financials 
"IDXX 
",118.9,Health Care 
"ITW 
",123.66,Industrials 
"ILMN 
",161.23,Health Care 
"IR 
",77.14,Industrials 
"INTC 
",36.76,Information Technology 
"ICE 
",57.31,Financials 
"IBM 
",166.8,Information Technology 
"IP 
",53.03,Materials 
"IPG 
",23.53,Consumer Discretionary 
"IFF 
",117.83,Materials 
"INTU 
",115.79,Information Technology 
"ISRG 
",663.07,Health Care 
"IVZ 
",30.55,Financials 
"IRM 
",34.1,Real Estate 
"JEC 
",58.02,Industrials 
"JBHT 
",98.03,Industrials 
"SJM 
",133,Consumer Staples 
"JNJ 
",114.7,Health Care 
"JCI 
",43.09,Industrials 
"JPM 
",83.94,Financials 
"JNPR 
",27.34,Information Technology 
"KSU 
",84.96,Industrials 
"K 
",71.98,Consumer Staples 
"KEY 
",18.13,Financials 
"KMB 
",116.4,Consumer Staples 
"KIM 
",25.5,Real Estate 
"KMI 
",22.44,Energy 
"KLAC 
",81.63,Information Technology 
"KSS 
",41.21,Consumer Discretionary 
"KHC 
",88.35,Consumer Staples 
"KR 
",34.91,Consumer Staples 
"LB 
",61.87,Consumer Discretionary 
"LLL 
",148.49,Industrials 
"LH 
",134.39,Health Care 
"LRCX 
",111.24,Information Technology 
"LEG 
",47.45,Industrials 
"LEN 
",44.3,Consumer Discretionary 
"LVLT 
",58.84,Telecommunications Services 
"LUK 
",23.2,Financials 
"LLY 
",77.53,Health Care 
"LNC 
",67.06,Financials 
"LLTC 
",62.45,Information Technology 
"LKQ 
",31.87,Consumer Discretionary 
"LMT 
",254.07,Industrials 
